Marca temporal;Âge;Sexe  ;1. Quels éléments suivants vous inciterez à recycler ? :  [Objets matériels (nourriture, boissons, objets fonctionnels, etc.)];1. Quels éléments suivants vous inciterez à recycler ? :  [Taxes (économiques ou légales)];1. Quels éléments suivants vous inciterez à recycler ? :  [Statut (récompenses, prix, visibilité dans votre communauté)];1. Quels éléments suivants vous inciterez à recycler ? :  [Satisfaction environnementale];2. Recycleriez-vous le plastique différemment en utilisant un point de collecte? :  ;3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre maison];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre rue];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre quartier];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Un quartier proche];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Un quartier éloigné];4. Pourquoi recyclez-vous ?  (Vous pouvez cocher plus d'une option);5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [L'élément incitatif];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [La publicité];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [La disponibilité des points de collecte];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [Le fait de connaître le résultat du recyclage];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je trouve l'idée de recycler agréable];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je considère que le recyclage vaut le temps qu'il prend];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je pense que le recyclage a du sens];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je pense que le recyclage est une perte de temps ];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [L'élément incitatif];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [La publicité];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [La disponibilité des points de collecte];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [Le fait de connaître le résultat du recyclage];8. Le circuit de recyclage expérimenté vous semble-t-il attractif ? (scanner le produit et obtenir des informations, savoir où se trouve le point de collecte le plus proche, obtenir des points en recyclant et les échanger contre des avantages)  ;9.  Savez-vous combien vous payez pour la collecte et le traitement de vos déchets d'emballage ? ;10. Vous abonneriez-vous à un plan annuel payant pour obtenir ces fonctionnalités et d'autres avantages ?;11. Pourquoi avez-vous participé à notre expérience ?  ( Vous pouvez cocher plus d'une option);12. Selon l'expérience de l'application que vous venez de tester, ¿Quelles autres fonctionnalités vous sembleraient attractives dans une application comme celle-ci ?  ;otro
2024/06/07 1:39:49 p. m. EEST;20 - 30;Homme;3;4;4;5;Oui;5;4;3;1;1;Pour protéger l'environnement;4;1;3;3;5;4;4;4;4;4;3;4;Oui;Je ne sais pas;Non;Pour le désir de participer;C’est bien comme ça;.
2024/06/07 2:02:19 p. m. EEST;> 60;Homme;5;5;3;3;Oui;5;5;5;5;5;Pour économiser les ressources naturelles;5;3;5;5;5;5;5;1;5;3;5;5;Oui;50 € / an;Non;Pour le désir de participer,Pour l'environnement;Il faut communiquer ;.
2024/06/07 3:48:12 p. m. EEST;20 - 30;Homme;5;1;5;5;Oui;5;5;3;2;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;5;1;5;3;4;5;5;1;5;3;5;5;Oui;Je ne sais pas;Non;Par curiosité,Pour le cadeau,Pour le désir de participer,Pour l'environnement;;.
2024/06/07 3:50:52 p. m. EEST;20 - 30;Homme;5;2;2;5;Oui;5;5;5;3;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;5;3;5;4;5;5;5;1;5;3;4;2;Oui;Je ne sais pas;Non;Par curiosité,Pour le cadeau,Pour le désir de participer;;.
2024/06/07 4:43:38 p. m. EEST;50 - 60;Femme;5;5;5;5;Oui;5;5;5;5;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour contribuer à la durabilité;5;1;5;5;5;5;5;1;5;5;3;5;Oui;100€ - 200€ / an;Non;Par curiosité;;.
2024/06/07 5:00:38 p. m. EEST;50 - 60;Femme;5;3;4;4;Oui;5;5;5;5;3;Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles;5;1;5;4;5;5;5;1;5;3;5;5;Oui;100€ - 200€ / an;Cela dépend du tarif et des avantages que cela offre;Par curiosité,Pour l'environnement;Aucune idée pour le moment;.
2024/06/07 5:20:49 p. m. EEST;30 - 40;Femme;1;1;1;5;Oui;5;5;5;4;3;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;3;4;5;5;5;5;5;1;4;4;5;5;Oui;Je ne sais pas;Je pense que cela dépend du type de ‘plan.;Par curiosité,Pour le désir de participer;;.
2024/06/07 5:55:34 p. m. EEST;20 - 30;Homme;4;5;3;2;Non;;;;;;Pour protéger l'environnement,Pour contribuer à la durabilité;2;3;4;5;2;3;4;1;3;2;4;5;Oui;Je ne sais pas;Non;Pour le cadeau,Pour l'environnement;Savoir l’impact que j’en ai au niveau local-mondial ;.
2024/06/07 6:49:30 p. m. EEST;50 - 60;Homme;5;1;2;5;Oui;5;5;5;5;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);4;4;5;5;5;5;5;1;4;4;5;5;Oui;Je ne sais pas;Oui;Par curiosité,Pour l'environnement;;.
2024/06/07 6:58:07 p. m. EEST;> 60;Femme;5;2;4;5;Oui;3;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);5;5;5;5;5;5;5;1;5;5;5;5;Oui;Je ne sais pas;Dépends de la tarification ;Par curiosité,Pour le cadeau,Pour la publicité,Pour le désir de participer,Pour l'environnement;;.
2024/06/07 7:22:18 p. m. EEST;> 60;Homme;5;3;4;5;Oui;5;4;3;1;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;2;2;5;4;4;5;5;1;4;5;5;5;Oui;100€ - 200€ / an;Non;Pour le désir de participer,Pour l'environnement;Visiter un centre de tri ;.
