Marca temporal;Âge;Sexe  ;1. Quels éléments suivants vous inciterez à recycler ? :  [Objets matériels (nourriture, boissons, objets fonctionnels, etc.)];1. Quels éléments suivants vous inciterez à recycler ? :  [Taxes (économiques ou légales)];1. Quels éléments suivants vous inciterez à recycler ? :  [Statut (récompenses, prix, visibilité dans votre communauté)];1. Quels éléments suivants vous inciterez à recycler ? :  [Satisfaction environnementale];2. Recycleriez-vous le plastique différemment en utilisant un point de collecte? :  ;3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre maison];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre rue];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Votre quartier];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Un quartier proche];3. Jusqu'où seriez-vous prêt à aller pour utiliser une installation de recyclage ? :   [Un quartier éloigné];4. Pourquoi recyclez-vous ?  (Vous pouvez cocher plus d'une option);5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [L'élément incitatif];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [La publicité];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [La disponibilité des points de collecte];5. À votre avis, les éléments suivants ont-ils amélioré votre perception du recyclage ?  [Le fait de connaître le résultat du recyclage];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je trouve l'idée de recycler agréable];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je considère que le recyclage vaut le temps qu'il prend];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je pense que le recyclage a du sens];6. Veuillez indiquer dans quelle mesure vous êtes d'accord avec les phrases suivantes :  [Je pense que le recyclage est une perte de temps ];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [L'élément incitatif];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [La publicité];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [La disponibilité des points de collecte];7. Pensez-vous que les éléments suivants pourraient améliorer la perception du recyclage dans votre communauté ? :   [Le fait de connaître le résultat du recyclage];8. Le circuit de recyclage expérimenté vous semble-t-il attractif ? (scanner le produit et obtenir des informations, savoir où se trouve le point de collecte le plus proche, obtenir des points en recyclant et les échanger contre des avantages)  ;9.  Savez-vous combien vous payez pour la collecte et le traitement de vos déchets d'emballage ? ;10. Vous abonneriez-vous à un plan annuel payant pour obtenir ces fonctionnalités et d'autres avantages ?;11. Pourquoi avez-vous participé à notre expérience ?  ( Vous pouvez cocher plus d'une option);12. Selon l'expérience de l'application que vous venez de tester, ¿Quelles autres fonctionnalités vous sembleraient attractives dans une application comme celle-ci ?  ;otro
2024/06/08 8:36:46 p. m. EEST;30 - 40;Femme;4;4;4;5;Oui;5;5;5;4;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;4;3;5;4;5;3;3;1;3;4;5;4;Oui;Je ne sais pas;Non;Par curiosité,Pour le cadeau;Avant d’acheter un produit pouvoir savoir si le produit a une chaîne de recyclage ;.
2024/06/08 8:40:16 p. m. EEST;20 - 30;Femme;5;5;5;5;Oui;5;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);5;5;5;5;5;5;5;5;5;5;5;5;Oui;Je ne sais pas;Oui;Pour le désir de participer,Pour l'environnement;;.
2024/06/08 8:43:07 p. m. EEST;20 - 30;Femme;5;3;4;5;Oui;5;5;5;3;2;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour des raisons économiques (économies d'argent, génération de revenus);3;2;5;5;5;5;5;1;3;2;5;5;Oui;Gratuit;Oui;Par curiosité,Pour le cadeau,Pour le désir de participer,Pour l'environnement;;.
2024/06/08 8:56:54 p. m. EEST;30 - 40;Femme;5;1;1;5;Non;;;;;;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;1;1;5;5;3;3;5;1;3;5;3;3;Oui;100€ - 200€ / an;Non;Par curiosité;;.
2024/06/09 1:26:05 p. m. EEST;30 - 40;Homme;1;5;4;2;Non;;;;;;Pour des raisons économiques (économies d'argent, génération de revenus);5;4;5;1;1;1;3;4;5;4;5;1;Oui;100€ - 200€ / an;Non;Par curiosité,Pour le cadeau,Pour le désir de participer;;.
2024/06/09 1:26:37 p. m. EEST;30 - 40;Homme;1;5;4;2;Non;;;;;;Pour des raisons économiques (économies d'argent, génération de revenus);5;4;5;1;1;1;3;4;5;4;5;1;Oui;100€ - 200€ / an;Non;Par curiosité,Pour le cadeau,Pour le désir de participer;;.
2024/06/09 1:35:04 p. m. EEST;20 - 30;Homme;3;1;2;5;Oui;5;5;5;5;3;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);3;2;4;5;4;5;5;1;3;2;5;5;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer,Pour l'environnement;Alternative, durée de dégradation dans la nature;.
2024/06/09 3:19:59 p. m. EEST;30 - 40;Femme;5;3;5;5;Oui;5;5;4;3;3;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;4;5;5;5;5;4;5;1;5;5;5;5;Oui;Je ne sais pas;Non;Par curiosité;;.
2024/06/09 3:27:57 p. m. EEST;50 - 60;Homme;5;5;5;5;Oui;1;3;3;5;1;Pour des raisons économiques (économies d'argent, génération de revenus);1;3;2;2;5;4;5;1;5;5;5;5;Oui;100€ - 200€ / an;Non;Par curiosité,Pour le désir de participer;;.
2024/06/09 3:28:45 p. m. EEST;50 - 60;Femme;4;5;4;5;Oui;3;5;4;4;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges;3;4;5;5;5;4;5;1;4;5;5;5;Oui;100€ - 200€ / an;Non;Par curiosité,Pour l'environnement;;.
2024/06/09 4:08:36 p. m. EEST;50 - 60;Homme;5;5;5;1;Oui;5;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);5;1;2;1;5;5;5;1;5;5;3;1;Oui;100€ - 200€ / an;Oui;Pour l'environnement;;.
2024/06/09 4:56:20 p. m. EEST;30 - 40;Homme;5;2;3;4;Oui;3;5;5;3;2;Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);3;3;5;5;5;4;5;1;4;4;5;5;Oui;Je ne sais pas;Non;Par curiosité;Connaître le gain sur l’impact carbone;.
2024/06/09 4:57:40 p. m. EEST;> 60;Homme;5;5;5;5;Oui;5;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles;3;5;5;5;5;5;5;1;5;5;5;5;Oui;100€ - 200€ / an;Oui;Par curiosité;Le questionaire est long et redundant.;.
2024/06/09 5:20:49 p. m. EEST;> 60;Homme;4;5;5;5;Oui;5;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour contribuer à la durabilité;3;4;5;5;5;5;5;5;3;5;5;5;Oui;Je ne sais pas;Oui;Par curiosité;;.
2024/06/09 5:49:31 p. m. EEST;40 - 50;Homme;3;1;5;5;Oui;5;5;5;4;3;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);4;3;5;5;5;5;5;1;4;3;5;5;Oui;Je ne sais pas;Oui;Pour le désir de participer;Avoir un lieu où l’on pourrait venir transformer nos chutes de pla ou autre filaments pour repartir avec une bobine;.
2024/06/09 6:25:50 p. m. EEST;<20;Femme;5;5;1;5;Oui;5;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);3;5;1;5;5;5;5;1;1;5;1;5;Oui;> 200 € /an;Oui;Pour l'environnement;;.
2024/06/09 6:32:28 p. m. EEST;<20;Femme;1;1;5;5;Oui;5;5;5;5;1;Pour protéger l'environnement;5;1;5;5;5;5;1;1;5;1;5;5;Oui;Gratuit;Oui;Pour l'environnement;;.
2024/06/09 6:46:33 p. m. EEST;50 - 60;Femme;5;5;3;5;Oui;3;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;5;3;5;5;5;5;5;1;5;5;5;5;Oui;100€ - 200€ / an;Ça dépend ;Par curiosité,Pour le cadeau,Pour le désir de participer,Pour l'environnement;;.
2024/06/09 6:50:22 p. m. EEST;30 - 40;Femme;5;5;4;5;Oui;3;5;5;5;4;Pour protéger l'environnement,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;3;4;4;4;5;4;5;1;4;4;4;4;Oui;Je ne sais pas;Non;Par curiosité;;.
2024/06/09 6:59:33 p. m. EEST;30 - 40;Femme;1;3;3;1;Oui;1;1;2;4;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges;2;2;1;1;1;2;1;5;2;2;1;1;Oui;Je ne sais pas;Non;Par curiosité,Pour le désir de participer,Pour l'environnement;;.
2024/06/09 7:03:56 p. m. EEST;20 - 30;Homme;5;5;3;5;Oui;5;5;5;5;5;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);5;5;3;5;5;5;5;1;5;5;5;5;Oui;Je ne sais pas;Ça dépend de ce que me vole president à la fin de l’année en argent;Par curiosité,Pour la publicité,Pour le désir de participer,Pour l'environnement;Je sais pas;.
2024/06/09 7:08:53 p. m. EEST;50 - 60;Homme;4;5;5;5;Non;;;;;;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité;1;1;5;3;5;5;5;1;5;3;5;5;Non;50 € / an;Non;Par curiosité,Pour l'environnement;;.
2024/06/09 7:33:28 p. m. EEST;50 - 60;Homme;2;5;1;2;Oui;2;5;5;1;1;Pour économiser les ressources naturelles,Pour contribuer à la durabilité;4;1;5;3;3;2;5;1;5;2;5;5;Oui;Je ne sais pas;Oui;Par curiosité;Former le enfant aux ecoles;.
2024/06/09 7:35:27 p. m. EEST;40 - 50;Femme;1;1;1;1;Oui;2;5;5;2;1;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles;4;3;2;1;4;3;4;1;4;3;3;2;Oui;Je ne sais pas;Oui;Par curiosité,Pour le cadeau;;.
2024/06/09 7:52:33 p. m. EEST;20 - 30;Homme;5;5;5;5;Non;;;;;;Pour protéger l'environnement,Pour réduire la quantité de déchets dans les décharges,Pour économiser les ressources naturelles,Pour contribuer à la durabilité,Pour des raisons économiques (économies d'argent, génération de revenus);5;5;5;5;5;5;5;5;5;5;5;5;Oui;50 € / an;Oui;Par curiosité,Pour le cadeau,Pour la publicité;;.
